en,th
good but pretty crowded. other beaches nearby are better,ดี แต่ค่อนข้างแออัด หาดอื่น ๆ ในบริเวณใกล้เคียงนั้นดีกว่า
"good sand, very crowded. the water is not really clear i was when there were waves but overall a fun beach.",ทรายที่ดีแออัดมาก น้ำไม่ชัดเจนจริง ๆ ฉันเคยมีคลื่น แต่โดยรวมแล้วเป็นชายหาดที่สนุก
crowded but nice,แออัด แต่ดี
pretty beach. less crowded if you walk a little further.,หาดสวย แออัดน้อยถ้าคุณเดินไปอีกหน่อย
"nice clean beach. did not see any rubbish. lots of water activity 's. sunbathing chairs available.",ชายหาดสวยดี ไม่เห็นขยะใด ๆ กิจกรรมทางน้ำมากมาย เก้าอี้อาบแดด
good one.,สิ่งที่ดี.
great beach. was pretty crowded but not as crowded as i expected. had plenty to do on the many streets near it as well.,ชายหาดที่ดี ค่อนข้างแออัด แต่ไม่แออัดอย่างที่ฉันคาดไว้ มีอะไรให้ทำมากมายบนถนนหลายสายที่อยู่ใกล้ ๆ เช่นกัน
overcrowded with lots of activities. the local people who handle the beach activities are very rude and arrrogant.,แออัดไปด้วยกิจกรรมมากมาย คนในท้องถิ่นที่ทำกิจกรรมชายหาดนั้นหยาบคายและหยิ่งผยอง
beautiful beach with clear shallow sea water. various water sports activities available. its worth going there.,ชายหาดที่สวยงามพร้อมน้ำทะเลใส มีกิจกรรมกีฬาทางน้ำมากมาย มันคุ้มค่าที่จะไปที่นั่น
clean beach. spent a marvelous afternoon.,ชายหาดที่สะอาด ใช้เวลาช่วงบ่ายที่น่าอัศจรรย์
lovely beach close to many amenities. highly recommended,ชายหาดที่น่ารักใกล้กับสิ่งอำนวยความสะดวกมากมาย ขอแนะนำอย่างยิ่ง
near bangla market and good.,ใกล้ตลาดบางลาและดี
one of the good ones but gets busy,เป็นหนึ่งในคนดี แต่ไม่ว่าง
would be five stars if they could sort out the plastic problem,จะเป็นห้าดาวถ้าพวกเขาสามารถแยกแยะปัญหาพลาสติกได้
nothing special and alot of shoppers,ไม่มีอะไรพิเศษและนักช้อปมากมาย
an amazingly clean beach. the smell of the city is horrible but i am not rating phuket just the beach.,ชายหาดที่สะอาดน่าอัศจรรย์ กลิ่นเมืองน่ากลัว แต่ฉันไม่ได้ให้คะแนนที่ภูเก็ตแค่ชายหาด
the water is disgusting. do not come here.,น้ำน่าขยะแขยง อย่ามาที่นี่
main beach area patong close to bangela road. water is not clear and shallow. great water attractions. not so crowded.,พื้นที่ชายหาดหลักป่าตองใกล้กับถนนบางลา น้ำไม่ใสและตื้น สถานที่ท่องเที่ยวทางน้ำที่ดี ไม่แออัด
one of the most popular beaches in phuket.,หนึ่งในชายหาดที่ได้รับความนิยมมากที่สุดในจังหวัดภูเก็ต
"mooi strand, wel wilde golven",ชายหาดที่สวยงาม แต่คลื่นป่า
"beautiful place, sunset is amazing",สถานที่ที่สวยงามพระอาทิตย์ตกที่น่าตื่นตาตื่นใจ
"worst place in thailand, too crowded, smells really bad, ugly people and super noisy. i do not recommend to go there under any circumstances. go to another beaches instead, like karon beach",สถานที่ที่เลวร้ายที่สุดในประเทศไทยแออัดเกินไปมีกลิ่นไม่ดีจริง ๆ คนน่าเกลียดและมีเสียงดังสุด ๆ ฉันไม่แนะนำให้ไปที่นั่นไม่ว่าในกรณีใด ๆ ไปที่ชายหาดอื่นแทนเช่นหาดคารอน
i visited this place last month. this is very famous and very crowded beach in phuket. many activities like para gliding and boat riding are availavle. if you want to enjoy swimming you will get some area marked by rope. outside of that area is not available for swimming. if you want to enjoy the sun light then that is a problem. you will not get seat or place to relax. the shops beside the beach is overrated. one coconut water will cost you fifty thb. please do some research before reaching to this place. i brought a flute from here. the overall experience is very nice. the scenic beauty and the behaviour of people is outstanding. i love this place. please do take a hotel next to this beach and you will be able to enjoy the beautiful environment in night. the bangla street is just opposite to this beach. very nice resturants available near to this beach. you can walk at night in sea side and enjoy the shows. thanks.,ฉันเยี่ยมชมสถานที่นี้เมื่อเดือนที่แล้ว ที่นี่มีชื่อเสียงมากและเป็นชายหาดที่แออัดมากในจังหวัดภูเก็ต มีกิจกรรมมากมายเช่นพาราร่อนและขี่เรือ หากคุณต้องการสนุกกับการว่ายน้ำคุณจะได้รับพื้นที่ที่ทำเครื่องหมายด้วยเชือก นอกพื้นที่นั้นไม่สามารถว่ายน้ำได้ หากคุณต้องการเพลิดเพลินไปกับแสงของดวงอาทิตย์นั่นก็เป็นปัญหา คุณจะไม่ได้ที่นั่งหรือสถานที่พักผ่อน ร้านค้าที่อยู่ข้างชายหาดนั้นมีการพูดเกินจริง น้ำมะพร้าวหนึ่งลูกจะเสียค่าใช้จ่ายห้าสิบบาท โปรดทำวิจัยก่อนที่จะถึงสถานที่นี้ ฉันนำฟลุตจากที่นี่ ประสบการณ์โดยรวมดีมาก ความงามอันงดงามและพฤติกรรมของผู้คนที่โดดเด่น ฉันรักสถานที่แห่งนี้. โปรดนำโรงแรมไปติดกับชายหาดนี้และคุณจะสามารถเพลิดเพลินไปกับสภาพแวดล้อมที่สวยงามในตอนกลางคืน ถนนบางลาอยู่ตรงข้ามกับชายหาดนี้ ร้านอาหารที่ดีมากอยู่ใกล้กับชายหาดนี้ คุณสามารถเดินตอนกลางคืนริมทะเลและเพลิดเพลินกับการแสดง ขอบคุณ
a little crowded beach however much cleaner than expected,ชายหาดที่แออัดไปหน่อย แต่สะอาดกว่าที่คิดไว้มาก
party area bars and entertainment.,บาร์ปาร์ตี้และสถานบันเทิง
