en,th
"went here on a fabulous clear day, the views are lovely but the highlight for me was the elephant shrine. it was really lovely. i would not make a special trip if you were staying the other side of the island however if you have time it is a lovely place to stop",ไปที่นี่ในวันที่อากาศแจ่มใสเหลือเชื่อวิวสวย แต่ไฮไลท์สำหรับฉันคือศาลเจ้าช้าง มันน่ารักจริงๆ ฉันจะไม่ทำให้การเดินทางพิเศษถ้าคุณพักที่อีกด้านหนึ่งของเกาะ แต่ถ้าคุณมีเวลามันเป็นสถานที่ที่น่ารักที่จะหยุด
we just in time reached the cape to see the sunset which was way too awesome. there is a fantastic view from the top. the ride to the cape was also cool. a must see place if you are around phuket. and the best time would be for the sunset.,ทันเวลาเราก็มาถึงแหลมเพื่อดูพระอาทิตย์ตกซึ่งมันยอดเยี่ยมมาก มีมุมมองที่ยอดเยี่ยมจากด้านบน การขี่ไปที่แหลมก็ยอดเยี่ยมเช่นกัน ต้องดูสถานที่ถ้าคุณอยู่ใกล้ภูเก็ต และเวลาที่ดีที่สุดสำหรับพระอาทิตย์ตก
the place can get crowded during sunset but its worth the visit. we went there via motorbike and stopped to karon viewpoint and nai harn beach along the way. sunset was amazing looking over the horizon. about 40min drive from patong area.,สถานที่สามารถแออัดในช่วงพระอาทิตย์ตกดิน แต่มันก็คุ้มค่ากับการเยี่ยมชม เราไปที่นั่นด้วยมอเตอร์ไซค์และหยุดที่จุดชมวิวคารอนและหาดในหานไปตามทาง พระอาทิตย์ตกที่น่าตื่นตาตื่นใจมองผ่านขอบฟ้า ขับรถประมาณ 40 นาทีจากพื้นที่ป่าตอง
"i think chaithararam temple is the best and preserved temple in phuket it is a spiritual place where you can enjoy and experience on live some traditions the monks are having if you are lucky i got the moment where they lighting the candles. not so crowded as i expected, you can have beautiful pictures. recommended the visit.",ฉันคิดว่าวัดไชธารารามเป็นวัดที่ดีที่สุดและเก็บรักษาไว้ในจังหวัดภูเก็ตเป็นสถานที่ทางจิตวิญญาณที่คุณสามารถเพลิดเพลินและสัมผัสกับประเพณีบางอย่างที่พระสงฆ์กำลังมีหากคุณโชคดีฉันได้รับแสงเทียน ไม่แออัดอย่างที่ฉันคาดไว้คุณสามารถมีภาพที่สวยงาม แนะนำให้เยี่ยมชม
"been many times and have contributed many photos over the years. will continue to do so because it is my favourite place on phuket. the views are amazing surrounding the area and the waters are crazy. if you like adventure, walk out to the point. wear good shoes and be safe. do not attempt it if you have a medical condition, take water and use sunscreen. the point can get rough if there is a storm coming in, be cautious of the waves, they have a way of sneaking up on you if you get too close. you can not swim around this are and are foolish if you try.",หลายต่อหลายครั้งในหลายปีที่ผ่านมา จะยังคงทำเช่นนี้เพราะเป็นสถานที่โปรดของฉันในภูเก็ต มุมมองที่น่าตื่นตาตื่นใจโดยรอบพื้นที่และน้ำเป็นบ้า ถ้าคุณชอบการผจญภัยเดินออกไปที่จุด สวมรองเท้าที่ดีและปลอดภัย อย่าพยายามถ้าคุณมีเงื่อนไขทางการแพทย์ใช้น้ำและใช้ครีมกันแดด จุดที่อาจจะหยาบถ้ามีพายุเข้ามาระวังคลื่นพวกเขามีวิธีด้อมคุณถ้าคุณเข้าใกล้เกินไป คุณไม่สามารถว่ายน้ำรอบนี้และโง่ถ้าคุณลอง
"this is thailand 's sunset point that your should not miss when you are in phuket. the atmosphere is so nice. if you wear a sport shoes, walk down to the cliff to spend good moments with nature.",นี่เป็นจุดชมพระอาทิตย์ตกของประเทศไทยที่คุณไม่ควรพลาดเมื่ออยู่ในภูเก็ต บรรยากาศดีมาก ถ้าคุณสวมรองเท้ากีฬาเดินลงไปที่หน้าผาเพื่อใช้ช่วงเวลาที่ดีกับธรรมชาติ
"same as windmill viewpoint, look at the andaman sea. there are a lot of parking lot, it is good to drive and visit.",เช่นเดียวกับจุดชมวิวกังหันลมดูทะเลอันดามัน มีที่จอดรถเยอะขับดีและเยี่ยม
"it is undoubtedly one of the best spots on the island to watch the sunset but the crowd is crazy so in my opinion it is a bit overrated. there are many other beautiful but quiet places without massive crowds of mostly chinese people. they do not even care about the sunset. they click their photo, turn around and leave without even looking at the sun they are loud and noisy. the place is probably still worth a visit but i would not go there again. unless there is some secret spot to hide from the insanity",มันเป็นหนึ่งในจุดที่ดีที่สุดบนเกาะอย่างไม่ต้องสงสัยเพื่อชมพระอาทิตย์ตก แต่ฝูงชนก็บ้าคลั่งดังนั้นในความคิดของฉันมันค่อนข้าง overrated เล็กน้อย มีสถานที่สวยงามอื่น ๆ อีกมากมาย แต่เงียบสงบโดยไม่มีฝูงชนจำนวนมากส่วนใหญ่เป็นคนจีน พวกเขาไม่สนใจเกี่ยวกับพระอาทิตย์ตก พวกเขาคลิกที่รูปหันหลังแล้วออกไปโดยไม่แม้แต่จะมองไปที่ดวงอาทิตย์ที่ดังและเสียงดัง สถานที่น่าจะยังคงมีมูลค่าการเยี่ยมชม แต่ฉันจะไม่ไปที่นั่นอีก นอกเสียจากว่าจะมีจุดลับที่ซ่อนอยู่จากความบ้า
"nice views from the top but we came when the sun was hitting directly above us, so we had to find a shade and just enjoy the views.",วิวสวยจากบนสุด แต่เรามาเมื่อดวงอาทิตย์กระทบเหนือเราโดยตรงดังนั้นเราต้องหาร่มเงาและสนุกกับวิว
"considered as one of phuket tourism almost everyone has to visit the scenery and take pictures of the sunset. people will be very tight if it is during the holidaywatch the time well. most people will go ahead to find a place but ats. parking is less. must the point of being able to walk down but be careful, the elderly and children do not recommend walking down.",ถือได้ว่าเป็นหนึ่งในการท่องเที่ยวของจังหวัดภูเก็ตเกือบทุกคนต้องไปเยี่ยมชมทิวทัศน์และถ่ายภาพพระอาทิตย์ตกดิน คนจะแน่นมากถ้ามันเป็นช่วงวันหยุดเวลาดี คนส่วนใหญ่จะไปข้างหน้าเพื่อหาสถานที่ แต่ ats ที่จอดรถน้อย จะต้องมีจุดที่สามารถเดินลงได้ แต่ต้องระวังผู้สูงอายุและเด็ก ๆ ไม่แนะนำให้เดินลง
