en,th
"its nice, very popular place, crowded, if you look on ur own then you can find better places without tourists",เป็นสถานที่ที่ดีและเป็นที่นิยมมาก ๆ ถ้าคุณมองด้วยตัวคุณเองคุณสามารถหาสถานที่ที่ดีกว่าโดยไม่ต้องนักท่องเที่ยว
a great find on n our part completely free of cost we were able to explore so many different areas and learn a little more about the religion,การค้นพบที่ยอดเยี่ยมในส่วนของเราโดยไม่เสียค่าใช้จ่ายเราสามารถสำรวจพื้นที่ต่าง ๆ มากมายและเรียนรู้เพิ่มเติมเกี่ยวกับศาสนา
"must stop during phuket land day trip with private driver you have to search a bit for a cheap offer. great thai art masteriece, built last decades, panoramic view from the top a pacefull spot.",จะต้องหยุดในระหว่างการเดินทางวันเดียวกับภูเก็ตด้วยคนขับส่วนตัวที่คุณต้องหาข้อเสนอราคาถูก ผลงานชิ้นเอกของศิลปะไทยที่ยอดเยี่ยมที่สร้างขึ้นเมื่อหลายสิบปีที่ผ่านมาทิวทัศน์อันงดงามจากจุดสูงสุด
very clean and beautiful temple. well maintained. people follow discipline here. you can spot the big buddha from here on the mountain.,วัดที่สะอาดและสวยงามมาก ได้รับการดูแลอย่างดี ผู้คนติดตามวินัยที่นี่ คุณสามารถมองเห็นพระพุทธรูปองค์ใหญ่ได้จากที่นี่บนภูเขา
"my favorite price free, good for a day out, lovely architect great place to bring the family.",ราคาโปรดของฉันฟรีเหมาะสำหรับการออกไปเที่ยวเล่นนอกสถานที่สถาปนิกที่น่ารัก
"very beautiful buddhist temple. great architecture. there is no entrance fee, but remember to remove your footwear before entering the temple. it is interesting to watch how they frequently burst crackers within a brick dome. ps carry an umbrella and wear your socks if you love your skin and feet",วัดพุทธที่สวยงามมาก สถาปัตยกรรมที่ดี ไม่มีค่าธรรมเนียมแรกเข้า แต่อย่าลืมถอดรองเท้าก่อนเข้าวัด เป็นที่น่าสนใจที่จะดูว่าพวกเขาระเบิดแครกเกอร์ภายในโดมอิฐอย่างไร ป.ล. พกร่มและสวมถุงเท้าถ้าคุณรักผิวและเท้าของคุณ
go either very early or late. day time is very busy and very hot,ไปเร็วมากหรือช้า เวลากลางวันยุ่งมากและร้อนมาก
beautiful temples and serene atmosphere.,วัดที่สวยงามและบรรยากาศอันเงียบสงบ
visited early in the morning. very beautiful and tranquil place.,เยี่ยมชมในตอนเช้า สถานที่ที่สวยงามและเงียบสงบมาก
"wat chalong has several pretty temples in good condition and no they were in the process of renovating some of the outsides but it did not effect the experience. there were not too many tourists when we were there on a friday midday during high season. when we entered the largest temple there was no one handing out sarongs, but there was someone when we got out. better to just wear modest clothes no tank tops and knees covered for women. can definitely recommend a peek. especially the inside of the main temple was gorgeous and interesting.",วัดฉลองมีวัดที่สวยงามหลายแห่งอยู่ในสภาพดีและไม่มีพวกเขาอยู่ในขั้นตอนการปรับปรุงบางส่วนภายนอก แต่มันไม่ได้ส่งผลกระทบต่อประสบการณ์ มีนักท่องเที่ยวไม่มากนักเมื่อเราอยู่ที่นั่นในช่วงเที่ยงวันศุกร์ในช่วงฤดูท่องเที่ยว เมื่อเราเข้าไปในวัดที่ใหญ่ที่สุดไม่มีใครแจกโสร่ง แต่มีบางคนเมื่อเราออกไป ดีกว่าที่จะสวมใส่เสื้อผ้าที่เรียบง่ายไม่มีเสื้อกล้ามและหัวเข่าปกคลุมสำหรับผู้หญิง สามารถแนะนำให้ดูอย่างแน่นอน โดยเฉพาะด้านในของวัดหลักนั้นงดงามและน่าสนใจ
the temple complex is beautiful. it is well maintained as well. it was very peaceful inside and the energy is wonderful. great place to just let go and meditate. no guards or priests giving directions or offering to perform ceremonies.,วัดที่ซับซ้อนสวยงาม มันได้รับการดูแลเป็นอย่างดี มันสงบมากภายในและพลังงานที่ยอดเยี่ยม สถานที่ที่เหมาะสำหรับการปล่อยวางและทำสมาธิ ไม่มียามหรือนักบวชให้คำแนะนำหรือทำพิธี
"one of the largest and most important temples on the island. located in the chalong area, it receives many tourists every day. inside the temple you feel peace and seeing yourself surrounded by buddha is an unforgettable experience. at the top you can see the mountain and the big buddha. after strolling through the different temples, you can have a cold coconut and buy souvenirs. enjoy phuket enjoy thailand",หนึ่งในวัดที่ใหญ่ที่สุดและสำคัญที่สุดบนเกาะ ตั้งอยู่ในพื้นที่ฉลองมันได้รับนักท่องเที่ยวจำนวนมากทุกวัน ภายในวัดคุณรู้สึกสงบและเห็นว่าตัวเองล้อมรอบด้วยพระพุทธเจ้าเป็นประสบการณ์ที่น่าจดจำ ที่ด้านบนคุณสามารถเห็นภูเขาและพระพุทธรูปองค์ใหญ่ หลังจากเดินเล่นในวัดที่แตกต่างกันคุณสามารถซื้อมะพร้าวเย็น ๆ และซื้อของที่ระลึก เพลิดเพลินกับภูเก็ตเพลิดเพลินกับประเทศไทย
"i personally did not enter the temple area partly because i was wearing shorts disrespecting the gods and religious reasons but i walked around the temples which had tourist shops which seems extremely old, dusty and filled with spider webs. i did not purchase anything and regretted because it was so cheap some store owners will give you discounted price immediately when you touch something in the store some will give you discounts after you decide to purchase their items. items were seemly similar store to store.",ฉันไม่ได้เข้าไปในบริเวณวัดเพราะฉันใส่กางเกงขาสั้นไม่เคารพพระเจ้าและเหตุผลทางศาสนา แต่ฉันเดินไปรอบ ๆ วัดที่มีร้านค้านักท่องเที่ยวซึ่งดูเก่าแก่มากเต็มไปด้วยฝุ่นและใยแมงมุม ฉันไม่ได้ซื้ออะไรเลยและเสียใจเพราะมันราคาถูกมากเจ้าของร้านบางแห่งจะให้ส่วนลดในทันทีเมื่อคุณสัมผัสบางอย่างในร้านบางคนจะให้ส่วนลดหลังจากที่คุณตัดสินใจซื้อสินค้าของพวกเขา รายการที่ดูเหมือนเก็บในการจัดเก็บ
in few words a picture- postcard view. this place is one of the must see places in phuket. i was wearing off shoulder top that time and was not aware about the dress code that you have to follow to enter the temple. you need to wear the top which covers your shoulder and skirt or pant to the knees. but even if you are wearing something else they provide you a stall and a skirt to cover your shoulder and legs. there were amazing details in the building with great views. definitely worth the visit.,ในไม่กี่คำมุมมองภาพโปสการ์ด สถานที่แห่งนี้เป็นหนึ่งในสถานที่ที่ต้องดูในภูเก็ต ฉันสวมเสื้อคลุมไหล่ในเวลานั้นและไม่ทราบเกี่ยวกับการแต่งกายที่คุณต้องติดตามเพื่อเข้าวัด คุณต้องสวมเสื้อคลุมไหล่และกระโปรงหรือกางเกงถึงหัวเข่า แต่แม้ว่าคุณจะสวมใส่อย่างอื่นพวกเขาก็มีแผงลอยและกระโปรงให้คุณเพื่อปกปิดไหล่และขาของคุณ มีรายละเอียดที่น่าทึ่งในอาคารพร้อมวิวที่ยอดเยี่ยม คุ้มค่ากับการเยี่ยมชมอย่างแน่นอน
"buddhist temple with excellent architecture. there is no entry ticket. both sleeping and sitting statues of buddha are present inside hall. the temple itself is eye catching with three floors. outside the temple there is a place for bursting crackers as a ritual. another temple is there on the opposite. some small restaurants are there and as usual with high prices. after visiting the temples, just to relax, one can walk outside to the river side. view is excellent and local people offer food to fishes and piegions.",วัดพุทธกับสถาปัตยกรรมที่ยอดเยี่ยม ไม่มีตั๋วเข้าชม พระพุทธรูปทั้งนอนและนั่งอยู่ในห้องโถง ตัววัดนั้นสะดุดตาด้วยสามชั้น นอกวัดมีสถานที่สำหรับระเบิดแครกเกอร์เป็นพิธีกรรม อีกวัดหนึ่งอยู่ตรงข้าม มีร้านอาหารเล็ก ๆ ที่นั่นและตามปกติด้วยราคาสูง หลังจากเยี่ยมชมวัดเพียงเพื่อการผ่อนคลายหนึ่งสามารถเดินออกไปข้างนอกแม่น้ำ มุมมองที่ยอดเยี่ยมและคนในท้องถิ่นให้อาหารปลาและพาย
"this is a pretty neat little temple complex. yes, it is still being used for ceremonial purposes, so you may see monks wondering about. all of the buildings are clean inside and out. there are also cats and roosters that roam the ground. this place is a little out of the way of the main tourist areas, so it was quiet when we visited. you are required to take your shoes off when entering the buildings, and of course the normal temple attire dress is required. would go again.",นี่เป็นวิหารเล็ก ๆ ที่ค่อนข้างประณีตและเรียบร้อย ใช่มันยังคงถูกใช้เพื่อจุดประสงค์ในการทำพิธีดังนั้นคุณอาจเห็นพระที่สงสัย อาคารทุกหลังสะอาดหมดจด นอกจากนี้ยังมีแมวและเจื้อยแจ้วที่เดินเตร่พื้นดิน สถานที่นี้ค่อนข้างไกลจากแหล่งท่องเที่ยวหลักดังนั้นมันจึงเงียบเมื่อเราเยี่ยมชม คุณต้องถอดรองเท้าเมื่อเข้าไปในอาคารและแน่นอนว่าต้องมีการแต่งกายชุดพระวิหาร จะไปอีกครั้ง
"a quiet respite from the busier tourist destinations of phuket. beautiful buildings and grounds, but remember that this is a temple and there is a dress code for both men and women. there are cover ups provided should you be wearing less than what is asked for entrance. there is no entrance fee.",เงียบสงบพักผ่อนจากสถานที่ท่องเที่ยวที่พลุกพล่านของภูเก็ต อาคารและบริเวณที่สวยงาม แต่โปรดจำไว้ว่านี่เป็นวัดและมีการแต่งกายสำหรับทั้งชายและหญิง มีอัพที่เตรียมไว้หากคุณสวมใส่น้อยกว่าที่ขอทางเข้า ไม่มีค่าธรรมเนียมแรกเข้า
this is an incredibly beautiful temple with so much to admire. it is a very big place and has a peaceful atmosphere. i would recommend going early in the morning and taking your time to wonder around and learn about the thai culture. you could even witness a wedding there like i did,วัดนี้เป็นวัดที่สวยงามอย่างไม่น่าเชื่อพร้อมชื่นชมมาก มันเป็นสถานที่ที่ใหญ่มากและมีบรรยากาศที่เงียบสงบ ฉันอยากจะแนะนำให้ไปในตอนเช้าและสละเวลาของคุณที่จะสงสัยและเรียนรู้เกี่ยวกับวัฒนธรรมไทย คุณสามารถเป็นพยานงานแต่งงานที่นั่นเหมือนที่ฉันทำ
wat chalong is a must visit place in phuket. the place has its own spiritual attraction with elegant architecture and eye catching building design. the campus is so beautiful and so peaceful that you would love to spend hours together. and of course photography here would give you loving memorable moments forever. the temple is a monument in itself. do not miss visiting the place.,วัดฉลองเป็นสถานที่ต้องไปเยี่ยมชมในจังหวัดภูเก็ต สถานที่มีสถานที่ท่องเที่ยวทางจิตวิญญาณของตัวเองด้วยสถาปัตยกรรมที่สง่างามและการออกแบบอาคารที่สะดุดตา วิทยาเขตนั้นสวยงามและสงบสุขมากดังนั้นคุณจะชอบใช้เวลาร่วมกันหลายชั่วโมง และแน่นอนว่าการถ่ายภาพที่นี่จะทำให้คุณประทับใจช่วงเวลาที่น่าจดจำตลอดไป วัดเป็นอนุสาวรีย์ในตัวเอง อย่าพลาดการเยี่ยมชมสถานที่
several temples on the complex with one main one and several smaller ones. the largest of the temples had many beautiful buddha statues filling the main room. worth a visit but not a must- see.,วัดหลายแห่งในคอมเพล็กซ์โดยมีวัดหลักหนึ่งและอีกหลายวัดเล็ก ๆ วัดที่ใหญ่ที่สุดมีรูปปั้นพระพุทธรูปที่สวยงามมากมายตั้งอยู่ในห้องหลัก ควรค่าแก่การเยี่ยมชม แต่ไม่ควรพลาด
"a beautiful place where you can breathe in calmness and feel blessed in presence of big buddha. we were lucky that it was a cloudy day, buddha right in the middle of clouds and we could see. the big buddha has many different buddha statues and his disciples with explanations to learn more from. this was off season, so part of temple was also under construction. but indeed we were lucky and got a beautiful view of buddha",สถานที่สวยงามที่คุณสามารถสูดลมหายใจอย่างสงบและรู้สึกถึงความสุขในที่ที่มีพระพุทธรูปองค์ใหญ่ เราโชคดีที่มันเป็นวันที่มีเมฆพระพุทธเจ้าอยู่ตรงกลางของเมฆและเราสามารถมองเห็นได้ พระพุทธรูปองค์ใหญ่มีพระพุทธรูปต่าง ๆ มากมายและสาวกของพระองค์พร้อมคำอธิบายเพื่อเรียนรู้เพิ่มเติมจาก นี่เป็นฤดูนอกดังนั้นส่วนหนึ่งของวัดจึงอยู่ในระหว่างการก่อสร้าง แต่จริง ๆ แล้วเราโชคดีและได้มุมมองที่สวยงามของพระพุทธเจ้า
interesting architecture but extremely crowded. not much to see inside. should enjoy the outeriors instead.,สถาปัตยกรรมที่น่าสนใจ แต่แออัดมาก ไม่ค่อยเห็นด้านใน ควรเพลิดเพลินกับการตกแต่งภายนอกแทน
"wonderful place to visit, so much pleasant to eyes, rich in colour and culture. it would have been better to display description in brief in front of every temple, it is importance and rituals to be carried out there.",สถานที่ที่ยอดเยี่ยมในการเยี่ยมชมเป็นที่น่าพอใจตาสีและวัฒนธรรม มันจะเป็นการดีกว่าถ้าจะแสดงคำอธิบายโดยสังเขปต่อหน้าพระวิหารทุกแห่งความสำคัญและพิธีกรรมที่ต้องทำ
"pretty impressive temple, the surrounding is very touristic and it is pretty crowded. but you get food and drinks there. so it definitely worth a visit when you are around.",วัดที่น่าประทับใจมาก ๆ สภาพแวดล้อมเป็นสถานที่ท่องเที่ยวและมีผู้คนหนาแน่น แต่คุณได้รับอาหารและเครื่องดื่มที่นั่น ดังนั้นจึงควรค่าแก่การเยี่ยมชมเมื่อคุณอยู่ใกล้
