RD_ID,RD_MESSAGE,CLEAN_TH,Expert,Score,Date
3072103,Beautiful beach with white sand. There a lot of activities by the beach. It is crowded. It wouldn’t be my first option for swimming but definitely is good for a walk,ชายหาดที่สวยงามพร้อมหาดทรายขาว มีกิจกรรมริมชายหาดมากมาย มันแออัด มันจะไม่ใช่ตัวเลือกแรกของฉันสำหรับการว่ายน้ำ แต่ก็ดีสำหรับการเดิน,POS,4,มกราคม 2020
3067711,Extensive white sandy beach extending for several kilometres.Plenty of shady trees just above the waterline.Beach lounges available to hire at a very cheap rate.Some very good cafe/bars right on the beach about halfway along.,หาดทรายสีขาวที่กว้างขวางทอดตัวยาวหลายกิโลเมตรมีต้นไม้ร่มรื่นหลายแห่งอยู่เหนือริมน้ำมีเลานจ์ชายหาดให้เช่าในราคาถูกมากร้านกาแฟ  บาร์ที่ดีมากบนชายหาดประมาณครึ่งทาง,POS,5,มีนาคม 2019
3065086,Stayed around this beach in a hotel we came to the beach pretty much every single day it was quite busy with tourists which is always expected being a tourist location however it didn't feel overcrowded like some beaches.There are lots of people who keep approaching you to buy the excursions however if you just tell them no politely but firmly they will leave you alone.There are plenty of shops on the beach and also sellers that will come to you to give you drinks I would recommend taking the mats when you stay. at the beach there are umbrellas which you have to rent I am not sure of the cost because I did not do this's,โอเคฉันเป็นคนรักของภูเก็ต แต่สิ่งต่าง ๆ มีการเปลี่ยนแปลงมีแทบไม่มีตำรวจใด ๆ ในพื้นที่ท่องเที่ยวและคุณทุกคนรู้เกี่ยวกับตัวแทนการท่องเที่ยวที่เพิ่งถูกฆ่าตาย มันปลอดภัยกว่าการเดินในเวลากลางคืนตอนนี้คุณมีคนไทยที่เดินไปตามท้องถนนและโจมตีนักท่องเที่ยวโดยไม่มีเหตุผล The Fifo lot ไม่ได้ช่วยพวกเขาไปที่นั่นเพื่อมีเพศสัมพันธ์มากที่สุดเท่าที่จะเป็นไปได้และแสดงให้คนไทยเห็นว่า yobbo วัฒนธรรมที่เราเป็นและไม่ใช่แค่พวกบาหลีอดีต yobs ตอนนี้พบว่าปลอดภัยในภูเก็ตและคุณพบเด็กชาย tatooed ทุกหนทุกแห่งอย่าเพิ่งว่ายน้ำบนชายหาดใด ๆ ที่ผู้คนจับตัวหนอนในร่างกายของพวกเขาและไม่สามารถกำจัดพวกมันได้เนื่องจาก โรงแรมถูกปล่อยลงสู่หาดป่าตองโดยโรงแรมเหล่านี้ทำให้ฉันเสียใจเพราะมันเป็นสถานที่ที่สนุกที่สุดของฉัน,NEG,4,เมษายน 2012
3073823,The Hotel team people Excellent Miss Sumin / The Managers are Great. Cook Mr Rana  daily Served us special Indian Tea. Miss Sumin upgraded  us with Best Suite. The whole family enjoyed the stay.,ทีมโรงแรมคนที่ยอดเยี่ยมพลาด sumin  ผู้จัดการที่ดี mr rana ปรุงอาหารทุกวันเสิร์ฟเราชาอินเดียพิเศษ miss sumin อัพเกรดเราด้วยชุดที่ดีที่สุด ทั้งครอบครัวมีความสุขกับการเข้าพัก,POS,4,เมษายน 2012
3067887,we found this a great place to explore  we where a little  disappointed at the cost of some things as we were led to believe that things were very cheap  taxis and tuk tuk found expensive  some eating places where expensive  be very careful at some 711 stores   you will get short changed   I got caught 2 times till I woke up both times by 500 baut  about $20  aussie once I was aware I checked my change every time,เราพบว่าที่นี่เป็นสถานที่ที่ดีในการสำรวจเราซึ่งผิดหวังเล็กน้อยกับค่าใช้จ่ายของบางสิ่งเพราะเราถูกนำไปสู่ความเชื่อว่าสิ่งต่าง ๆ เป็นรถแท็กซี่ราคาถูกมากและรถตุ๊กตุ๊กพบว่ามีราคาแพง รับการเปลี่ยนแปลงสั้น ๆ ฉันถูกจับ 2 ครั้งจนกระทั่งฉันตื่นขึ้นมาทั้งสองครั้งโดย 500 baut ประมาณ  20 ออสซี่เมื่อฉันตระหนักฉันตรวจสอบการเปลี่ยนแปลงของฉันทุกครั้ง,NEG,4,มีนาคม 2017
3073106,"Just relax, have a coconut cocktail. Look over the aqua blue waters and feel your worries fade. If you are into massages, get a very relaxing back massage on the beach. For the adventurous hire a water scooter and have fun speeding over lake-like sea waters",แค่พักผ่อนก็มีค็อกเทลมะพร้าว มองไปที่น้ำทะเลสีฟ้าและรู้สึกกังวลของคุณจางหายไป หากคุณต้องการใช้บริการนวดผ่อนคลายไปกับการนวดบนชายหาด สำหรับนักผจญภัยเช่ารถสกู๊ตเตอร์น้ำและสนุกไปกับน้ำทะเลที่มีลักษณะเหมือนทะเลสาบ,POS,4,กรกฎาคม 2015
3070909,"Patong beach is fun place to be in Phuket. The beach has umbrellas now.Many bars and restaurants, we had a good time.",หาดป่าตองเป็นสถานที่ที่สนุกที่จะอยู่ในภูเก็ต ตอนนี้ชายหาดมีร่มบาร์และร้านอาหารมากมายเรามีช่วงเวลาที่ดี,POS,4,กุมภาพันธ์ 2016
3075311,"Lovely clean beach, just be wary of the beach sellers... you show interest and they are very persistent.",หาดที่สะอาดน่ารักเพียง แต่ระวังของผู้ขายชายหาด  คุณแสดงความสนใจและพวกเขาจะขัดขืนมาก,NEG,4,กรกฎาคม 2015
3065664,"If you're looking for non-stop night life, then the Patong Beach area is for you.  But if you're looking for a quiet peaceful vacation, then I'd head south on Phuket and escape the crowds.  Patong beach is very overcrowded with beach chairs and umbrellas for rent, ski dos, parasailing, and lots of shops lining the streets in the area.  The swimming area is roped off because there are a lot of boats coming and going outside of the swim area.  The northern part of Patong is more rocky but has less people, and the southern part is a bit quieter, but does not have a good swimming area.  The water is murky with some seaweed, whereas down south on Kata beach the water is much more clear.  We did not like the constant hassle from people trying to sell you items or tour while you are trying to relax or take a walk along the beach.",หากคุณกำลังมองหาสถานบันเทิงยามค่ำคืนที่ไม่หยุดยั้งบริเวณหาดป่าตองก็เหมาะสำหรับคุณ แต่ถ้าคุณกำลังมองหาวันหยุดที่เงียบสงบฉันจะมุ่งหน้าไปทางใต้ที่ภูเก็ตและหลบหนีจากฝูงชน หาดป่าตองเป็นที่แออัดไปด้วยเก้าอี้ชายหาดและร่มให้เช่าสกีดอสพาราเซลลิ่งและร้านค้ามากมายเรียงรายตามถนนในพื้นที่ บริเวณว่ายน้ำถูกกั้นออกเพราะมีเรือจำนวนมากเข้ามาและออกไปข้างนอกบริเวณว่ายน้ำ ทางตอนเหนือของป่าตองเป็นหิน แต่มีคนน้อยกว่าและทางตอนใต้ค่อนข้างเงียบ แต่ไม่มีพื้นที่ว่ายน้ำที่ดี น้ำมืดไปด้วยสาหร่ายบางส่วนในขณะที่ลงใต้ไปที่หาดกะตะน้ำจะใสมากขึ้น เราไม่ชอบความยุ่งยากอย่างต่อเนื่องจากผู้ที่พยายามขายสินค้าหรือทัวร์ในขณะที่คุณพยายามพักผ่อนหรือเดินเล่นไปตามชายหาด,NEG,4,มกราคม 2019
3068734,"Nice beach, no so polluted, in Patong, with lot of bars and restaurant around. But I prefer to go to other beach for more calm and water quality (Kamala).",หาดสวยไม่มีมลพิษในป่าตองมีบาร์และร้านอาหารมากมายรอบ ๆ แต่ฉันชอบไปที่ชายหาดอื่น ๆ เพื่อความสงบและคุณภาพน้ำ กมลา,POS,5,ธันวาคม 2016
