words,counts
สวยงาม-ADJ,90
ขาว-ADJ,38
มากมาย-ADJ,213
แรก-ADJ,33
ดี-ADJ,446
ยาว-ADJ,26
ใส-ADJ,7
ใหญ่-ADJ,93
พิเศษ-ADJ,17
แท้จริง-ADJ,13
แท็กซี่-ADJ,4
แพง-ADJ,36
สั้น-ADJ,7
เดียว-ADJ,57
อื่น-ADJ,150
คลื่น-ADJ,8
ร้าย-ADJ,5
สูง-ADJ,25
สิ่งสูง-ADJ,1
ดัง-ADJ,42
สำคัญ-ADJ,8
ที่สุด-ADJ,22
หยาบคาย-ADJ,3
ใจกลาง-ADJ,1
เล็ก-ADJ,47
ยอดเยี่ยม-ADJ,52
ใหม่-ADJ,15
ร้อน-ADJ,30
มาก-ADJ,99
นอก-ADJ,11
น้อย-ADJ,29
หลัก-ADJ,29
เยี่ยมชม-ADJ,4
สะอาด-ADJ,20
แค่-ADJ,7
เต็ม-ADJ,67
โชค-ADJ,1
เหมาะ-ADJ,30
เหนือ-ADJ,3
อุ่น-ADJ,19
ยุ่ง-ADJ,4
เมา-ADJ,1
รุนแรง-ADJ,3
เจ้า-ADJ,1
ตื้น-ADJ,5
งดงาม-ADJ,11
หลัง-ADJ,3
ปกติ-ADJ,13
เฉพาะ-ADJ,29
เย็น-ADJ,47
ตรงข้าม-ADJ,8
เด็ก-ADJ,6
โอเค-ADJ,5
สมเหตุสมผล-ADJ,6
กลาง-ADJ,40
งาม-ADJ,5
สนุกสนาน-ADJ,8
พอสมควร-ADJ,2
ง่าย-ADJ,14
เบา-ADJ,1
นุ่ม-ADJ,4
ถ้า-ADJ,1
ทั่ว-ADJ,20
แน่นอน-ADJ,23
เงียบ-ADJ,3
กี่-ADJ,26
อบอุ่น-ADJ,15
ก็ตาม-ADJ,4
สุดท้าย-ADJ,10
ห้องย้าย-ADJ,1
พาราเซล-ADJ,1
คารอน-ADJ,1
โต-ADJ,1
จำเป็น-ADJ,4
เทา-ADJ,4
แรง-ADJ,9
รบกวน-ADJ,2
ต่ำ-ADJ,7
ซ้าย-ADJ,3
แย่-ADJ,18
เก่าแก่-ADJ,1
ลับ-ADJ,3
เหม็น-ADJ,4
เขียว-ADJ,3
ตองดี-ADJ,3
ตอง-ADJ,13
น้ำตาล-ADJ,3
สุด-ADJ,3
ลึก-ADJ,7
ยิ่งใหญ่-ADJ,5
ยนต์-ADJ,1
ก่อนหน้า-ADJ,1
อาบ-ADJ,3
ท่องเที่ยว-ADJ,10
ชัดเจน-ADJ,8
ช็อปปิ้ง-ADJ,1
แข็งแรง-ADJ,3
เฉลี่ย-ADJ,7
ต่าง-ADJ,11
สุข-ADJ,1
ห้า-ADJ,1
whaaaaat-ADJ,1
หลากหลาย-ADJ,7
ทาบทาม-ADJ,1
สนุก-ADJ,6
สกปรกเหม็น-ADJ,1
วิเศษ-ADJ,5
ล่าง-ADJ,3
ล่าสุด-ADJ,1
เยี่ยม-ADJ,10
ฉุกเฉิน-ADJ,1
ปานกลาง-ADJ,1
ทั่วไป-ADJ,10
ยาวเหยียด-ADJ,1
เกิน-ADJ,7
เรียบร้อย-ADJ,1
ลูก-ADJ,2
พลาด-ADJ,1
เผชิญหน้า-ADJ,1
ฉลาด-ADJ,2
ยิ้ม-ADJ,2
สบาย-ADJ,3
ระลึก-ADJ,8
สวย-ADJ,5
เรียงราย-ADJ,2
คุณกำลัง-ADJ,1
จุ่ม-ADJ,1
หาด-ADJ,14
ใจ-ADJ,1
ว่าง-ADJ,4
บางอย่าง-ADJ,1
นาน-ADJ,5
ตื่นตระหนก-ADJ,1
หวาน-ADJ,1
numustdothat-ADJ,1
ราบรื่น-ADJ,1
หาดป่า-ADJ,1
โกรธเคือง-ADJ,1
ออสเตรเลีย-ADJ,1
ธรรมดา-ADJ,6
คุ้ยเขี่ย-ADJ,1
ย้อน-ADJ,1
โด่งดัง-ADJ,3
พักผ่อน-ADJ,2
แปลก-ADJ,3
สว่าง-ADJ,1
แวดล้อม-ADJ,11
ถนน-ADJ,2
นุ่มนวล-ADJ,1
สี-ADJ,2
ใกล้เคียง-ADJ,4
จริง-ADJ,14
อย่า-ADJ,4
หลายสิ่งหลายอย่าง-ADJ,1
เยอะ-ADJ,4
กว้างใหญ่-ADJ,1
เก่า-ADJ,5
ตรง-ADJ,2
ยุ่งยาก-ADJ,4
หาดตื้น-ADJ,1
อย่าง-ADJ,1
ล้อม-ADJ,1
อัปยศ-ADJ,5
ใหญ่หลวง-ADJ,1
ซื่อสัตย์-ADJ,1
ยุ่งมาก-ADJ,1
แออัด-ADJ,4
ครึ่ง-ADJ,4
หน้า-ADJ,12
เลว-ADJ,1
อิกัว-ADJ,1
หลอกลวง-ADJ,5
อ่าง-ADJ,1
สะดวก-ADJ,1
ขัด-ADJ,1
หนาว-ADJ,1
qiuite-ADJ,1
เชี่ยวชาญ-ADJ,4
อันตราย-ADJ,4
เหมาะสม-ADJ,9
รับประทาน-ADJ,1
อำนวย-ADJ,2
ขั้น-ADJ,1
อ่อน-ADJ,1
ไม่ว่าง-ADJ,1
คัน-ADJ,1
หลีกเลี่ยงดี-ADJ,1
อายุ-ADJ,1
สถาน-ADJ,1
ดำ-ADJ,3
ยุ่งยากน้อย-ADJ,1
ห่าง-ADJ,4
ใคร-ADJ,2
ง่ายดาย-ADJ,4
อิสระ-ADJ,4
แรมแอชลี่-ADJ,1
โรล-ADJ,1
คุณนวด-ADJ,1
เสียดาย-ADJ,3
เศษ-ADJ,1
อับอาย-ADJ,1
เที่ยว-ADJ,2
แน่น-ADJ,1
ไกล-ADJ,3
ผิด-ADJ,4
ผสมผสาน-ADJ,1
มืด-ADJ,1
ห่อ-ADJ,1
เท็จจริง-ADJ,2
คุกคาม-ADJ,2
หนัก-ADJ,2
hypeevening-ADJ,1
ไทย-ADJ,2
เพียงพอ-ADJ,1
ร้อย-ADJ,1
บวก-ADJ,2
คราม-ADJ,1
สะบัด-ADJ,1
ปาร์ตี้-ADJ,1
สกปรก-ADJ,3
เริ่มต้น-ADJ,1
แท้-ADJ,2
แลกเปลี่ยน-ADJ,2
เพื่อน-ADJ,1
มาเลเซีย-ADJ,1
เรียบ-ADJ,1
เช้า-ADJ,1
อร่อย-ADJ,3
สัก-ADJ,1
รอบ-ADJ,3
ยาม-ADJ,1
ร่มรื่น-ADJ,2
ร่าเริง-ADJ,1
ต่างๆ-ADJ,3
ลืม-ADJ,1
ทรายละเอียด-ADJ,1
ซ้อน-ADJ,1
บ่อย-ADJ,1
โสด-ADJ,3
อดีต-ADJ,2
สร้อย-ADJ,1
หมาย-ADJ,1
คล้าย-ADJ,1
ยาก-ADJ,3
นอน-ADJ,1
คอย-ADJ,1
เกาะสมุย-ADJ,1
แดง-ADJ,3
สาธารณะ-ADJ,2
ทะเลาะ-ADJ,1
หัวเราะ-ADJ,1
ซื้อ-ADJ,1
โมจิโทส-ADJ,1
โปรด-ADJ,1
โรงแรมสวรรค์-ADJ,1
เกรียม-ADJ,1
ใกล้ชิด-ADJ,2
รีสอร์ท-ADJ,1
ร่ม-ADJ,1
เซ่อ-ADJ,1
นะ-ADJ,1
สายหลัก-ADJ,1
โรงแรมลาฟลอรา-ADJ,1
ออนไลน์-ADJ,1
เสีย-ADJ,3
คุณ-ADJ,1
ความ-ADJ,2
mr-ADJ,1
มากน้อย-ADJ,1
เคารพ-ADJ,1
โบ๊ท-ADJ,2
LookieLookie-ADJ,1
คอนกรีต-ADJ,1
อึ-ADJ,1
เกลื่อน-ADJ,1
อนุญาต-ADJ,1
บอก-ADJ,1
ตลก-ADJ,1
ฟรี-ADJ,1
