words,counts
ก็-ADV,291
มาก-ADV,461
ประมาณ-ADV,33
ที่สุด-ADV,128
เล็กน้อย-ADV,42
ตระหนัก-ADV,2
แล้ว-ADV,29
เก้าอี้-ADV,3
เกิน-ADV,94
ไป-ADV,173
ยัง-ADV,17
มากมาย-ADV,50
ตัวอย่าง-ADV,1
ฟรีราคา-ADV,1
ไว้-ADV,37
ต่างๆ-ADV,2
ต่อ-ADV,7
ละ-ADV,1
ลิ่ง-ADV,2
กว่า-ADV,87
น้ำมืด-ADV,1
ขึ้น-ADV,52
สวยงาม-ADV,6
ไกล-ADV,12
อยาก-ADV,2
ดัง-ADV,29
จึง-ADV,43
สุด-ADV,14
น้อย-ADV,25
เลย-ADV,29
ยุติธรรม-ADV,1
ถ้า-ADV,1
เงียบ-ADV,7
สกปรก-ADV,5
เจ็ทสกีและ-ADV,1
ใกล้-ADV,14
ชัด-ADV,9
จริง-ADV,71
ตุ๊กตุ๊ก-ADV,2
ที่-ADV,1
จุด-ADV,1
พอ-ADV,10
มัก-ADV,18
เพียง-ADV,98
ยอดเยี่ยม-ADV,3
สาบาน-ADV,1
ตั้งแต่-ADV,5
ไร-ADV,31
สัตว์สกปรก-ADV,1
เกือบ-ADV,13
แค่-ADV,55
เลื่อน-ADV,1
เสมอ-ADV,23
เร็ว-ADV,14
เหมาะ-ADV,1
เบียร์-ADV,2
จนถึง-ADV,5
ลง-ADV,2
ร้อย-ADV,1
ด้วย-ADV,13
ก่อน-ADV,4
ภูเก็ต-ADV,2
ตอง-ADV,23
เจ็ตสกี-ADV,1
ฮ่า-ADV,2
ดี-ADV,24
ใส-ADV,3
สะอาด-ADV,15
แน่นอน-ADV,11
เรียบร้อย-ADV,2
คุณ-ADV,4
ชอบ-ADV,2
ผิด-ADV,11
ซ้ำ-ADV,1
ช้า-ADV,2
ไทย-ADV,2
พร้อม-ADV,3
สั่ง-ADV,1
เอง-ADV,18
สดชื่น-ADV,1
ค่อย-ADV,17
ยิ้ม-ADV,1
เรื่อย-ADV,5
ยิ่ง-ADV,20
เท่า-ADV,16
เตียง-ADV,10
วีดี-ADV,1
นิดหน่อย-ADV,3
ค่อนข้าง-ADV,2
โชค-ADV,1
ง่าย-ADV,7
สิ่งของ-ADV,1
แดด-ADV,2
ท่องเที่ยว-ADV,3
เยี่ยมชม-ADV,2
แท้จริง-ADV,3
จดจำ-ADV,1
อย่า-ADV,3
จำเป็น-ADV,8
เฉียง-ADV,3
ดึงดูด-ADV,1
อีก-ADV,39
เยี่ยม-ADV,12
ทำไม-ADV,7
เสีย-ADV,1
ชิน-ADV,1
ยุ่ง-ADV,7
โกเฟอร์-ADV,1
เหยาะ-ADV,1
นาน-ADV,11
นัก-ADV,4
เที่ยว-ADV,1
เหล้า-ADV,1
สบาย-ADV,1
อย่าง-ADV,1
notmuchsavingsifanynottomention-ADV,1
เดิน-ADV,1
จ่าย-ADV,2
เพิ่ง-ADV,5
ตื่นเต้น-ADV,2
ลูก-ADV,1
เด็ก-ADV,1
จี้-ADV,1
เกาะฮอป-ADV,1
ดื่ม-ADV,1
ตลอด-ADV,3
แม้-ADV,2
เปลญวน-ADV,1
เจ็ทสกี-ADV,3
หน่อย-ADV,5
แออัด-ADV,4
ขอ-ADV,1
แต่-ADV,3
ลำเอียง-ADV,1
ทอด-ADV,1
หาดกะตะ-ADV,1
เหมือนบาหลี-ADV,1
ใกล้เคียง-ADV,6
ต่ำ-ADV,3
ฯลฯ-ADV,1
กิน-ADV,1
แปลกใจ-ADV,1
หมด-ADV,2
สบ-ADV,1
ตา-ADV,2
แพง-ADV,4
อื่น-ADV,1
มุ่งหน้า-ADV,4
สมบูรณ์-ADV,1
สูง-ADV,2
ออก-ADV,1
ตาม-ADV,3
แม้ว่า-ADV,2
หาด-ADV,2
ตรง-ADV,2
อาหาร-ADV,1
ได้ยิน-ADV,2
ตะน้อย-ADV,1
เช้า-ADV,3
ยาก-ADV,8
ชั่วโมง-ADV,1
ก่อนหน้า-ADV,1
