words,counts
ชาย-NOUN,1056
หาด-NOUN,1286
ทราย-NOUN,108
กิจกรรม-NOUN,87
ชายหาด-NOUN,83
ตัว-NOUN,120
เลือก-NOUN,1
การ-NOUN,552
ว่าย-NOUN,93
น้ำ-NOUN,519
สี-NOUN,65
กิโลเมตร-NOUN,3
ต้น-NOUN,14
ไม้-NOUN,21
ร่มรื่น-NOUN,1
แห่ง-NOUN,37
ริม-NOUN,37
เลานจ์-NOUN,5
ราคา-NOUN,176
บาร์-NOUN,33
ทาง-NOUN,11
วิ่ง-NOUN,3
ภูเก็ต-NOUN,124
บริเวณ-NOUN,44
สระ-NOUN,18
ขนาด-NOUN,35
นัก-NOUN,147
ภัย-NOUN,59
เจ็ทสกี-NOUN,25
นวด-NOUN,67
ร้าน-NOUN,210
สถานที่-NOUN,234
ค่า-NOUN,62
สิ่ง-NOUN,223
ความ-NOUN,255
รถ-NOUN,72
ครั้ง-NOUN,139
baut-NOUN,1
ออสซี่-NOUN,1
เช่น-NOUN,11
ส่วน-NOUN,82
บริการ-NOUN,64
คน-NOUN,352
ฝรั่ง-NOUN,2
ผ้า-NOUN,18
ปวด-NOUN,1
วัน-NOUN,240
โอ้ดีหาดป่า-NOUN,1
ตอง-NOUN,221
สะอาด-NOUN,76
ประหลาดใจ-NOUN,1
ขรุ-NOUN,1
ขระ-NOUN,1
เรือ-NOUN,103
รำคาญ-NOUN,13
เครื่อง-NOUN,100
ลำดับ-NOUN,1
พวก-NOUN,243
พิธีกรรม-NOUN,2
ตอน-NOUN,123
เช้า-NOUN,42
ป่า-NOUN,323
ร่มบาร์-NOUN,1
อาหาร-NOUN,292
ช่วง-NOUN,88
เวลา-NOUN,202
phuket-NOUN,1
ท่อ-NOUN,5
พื้นที่-NOUN,85
ขี้-NOUN,3
พ่อค้า-NOUN,19
ยินดี-NOUN,3
เงิน-NOUN,55
อย่าง-NOUN,77
ทัวร์-NOUN,15
พฤติกรรม-NOUN,1
เด็ก-NOUN,34
สุภาพ-NOUN,10
สุข-NOUN,23
เจรจา-NOUN,4
ยืดหยุ่น-NOUN,1
โปรแกรม-NOUN,1
วิธี-NOUN,19
ค้นหา-NOUN,1
โรง-NOUN,84
คุณ-NOUN,194
เก็บ-NOUN,1
ภาษี-NOUN,2
มูลค่า-NOUN,2
เฉพาะ-NOUN,1
อย่า-NOUN,17
สภาพ-NOUN,16
อากาศ-NOUN,20
ฐาน-NOUN,1
ระบบ-NOUN,6
มือ-NOUN,6
อาชีพ-NOUN,1
แสง-NOUN,16
แดด-NOUN,91
dvd-NOUN,1
ขุม-NOUN,1
ตลาด-NOUN,34
ล็อค-NOUN,1
ห้อง-NOUN,16
สองสาม-NOUN,12
เดือน-NOUN,24
บาท-NOUN,90
คุณภาพ-NOUN,10
สิ่งของ-NOUN,15
ศิลปะ-NOUN,3
สด-NOUN,8
ล้าง-NOUN,1
สถาน-NOUN,17
ใต้-NOUN,21
หลบหนี-NOUN,3
ฝูง-NOUN,19
ชน-NOUN,21
หาดป่า-NOUN,22
เก้าอี้-NOUN,86
สกีดอสพาราเซล-NOUN,1
เรียงราย-NOUN,3
ถนน-NOUN,114
จำนวน-NOUN,98
ข้าง-NOUN,30
เหนือ-NOUN,15
หิน-NOUN,13
ค่อนข้าง-NOUN,17
เงียบ-NOUN,10
สาหร่าย-NOUN,1
ขณะ-NOUN,45
หาดกะตะน้ำ-NOUN,1
ผู้-NOUN,188
สินค้า-NOUN,21
กีฬา-NOUN,70
ผู้คน-NOUN,127
รัก-NOUN,49
หลากหลาย-NOUN,6
เหตุการณ์-NOUN,1
สะพาน-NOUN,3
หมู่-NOUN,5
บ้าน-NOUN,29
ชาว-NOUN,54
สวย-NOUN,27
เสียง-NOUN,42
พรหม-NOUN,1
ประสบการณ์-NOUN,50
ท้อง-NOUN,16
ชีวิตชีวา-NOUN,12
ดาว-NOUN,11
พา-NOUN,8
ลูก-NOUN,20
ขยะ-NOUN,84
น่าน-NOUN,2
นjunkies-NOUN,1
ใบ-NOUN,33
ขี่-NOUN,11
ร่ม-NOUN,77
ร่อน-NOUN,9
ดาดฟ้า-NOUN,4
คำ-NOUN,17
รัฐบาล-NOUN,6
ทหาร-NOUN,10
เสื่อ-NOUN,8
ราย-NOUN,8
ชั่วโมง-NOUN,35
เลี้ยง-NOUN,3
ชีพ-NOUN,5
แสวงหา-NOUN,1
พักผ่อน-NOUN,38
จิตใจ-NOUN,1
จู้จี้-NOUN,2
จุก-NOUN,1
จิก-NOUN,1
กระแส-NOUN,14
โอกาส-NOUN,7
หาดมัน-NOUN,1
สวยงาม-NOUN,19
พาราเซล-NOUN,39
ทะเลาะวิวาท-NOUN,1
หน้าตา-NOUN,1
บ่าย-NOUN,16
คลื่น-NOUN,13
สะพรึง-NOUN,2
มุมมอง-NOUN,6
หน้า-NOUN,12
นาที-NOUN,51
ข้อ-NOUN,27
จุด-NOUN,34
ศพ-NOUN,1
โลก-NOUN,31
อาบ-NOUN,56
ครอบครัว-NOUN,34
หลบ-NOUN,1
ที่-NOUN,93
ดัง-NOUN,8
สะดวก-NOUN,7
ท้องถิ่น-NOUN,24
ทะเล-NOUN,112
karonkatait-NOUN,1
นอน-NOUN,6
ราบ-NOUN,3
ชิลล์-NOUN,1
ดื่ม-NOUN,4
feb-NOUN,1
เจ้าหญิงไพลินแห่ง-NOUN,1
หญิงน้ำ-NOUN,1
ฟ้า-NOUN,26
ผสมผสาน-NOUN,1
เอกลักษณ์-NOUN,1
หนาแน่น-NOUN,4
ผจญภัย-NOUN,3
จักรยาน-NOUN,4
สปีด-NOUN,5
โบ๊ทการ-NOUN,1
ดำ-NOUN,9
สกุล-NOUN,2
usd-NOUN,1
แปลง-NOUN,1
เท้า-NOUN,12
เยี่ยมชม-NOUN,23
ฉาก-NOUN,5
หนา-NOUN,2
ทึบ-NOUN,2
แผน-NOUN,9
เจ็ทสกีพาราเซล-NOUN,3
บันน่า-NOUN,1
ร่มเงา-NOUN,5
สาย-NOUN,22
ลม-NOUN,17
ธรรมเนียม-NOUN,5
นสถานที่-NOUN,1
ละ-NOUN,7
งาน-NOUN,39
ผับ-NOUN,6
ฝั่ง-NOUN,40
กลาง-NOUN,41
ลา-NOUN,17
ชื่อเสียง-NOUN,17
ร้อย-NOUN,1
แว่น-NOUN,6
ปิง-NOUN,6
ชื่อ-NOUN,8
หรู-NOUN,2
สาว-NOUN,15
ผม-NOUN,1
แผง-NOUN,12
เสื้อ-NOUN,9
ยืด-NOUN,4
หมวก-NOUN,6
ฯลฯ-NOUN,21
เท่า-NOUN,18
เกาะ-NOUN,37
ทริป-NOUN,9
แบบ-NOUN,21
พระอาทิตย์-NOUN,52
นั่ง-NOUN,3
เพื่อน-NOUN,22
สัก-NOUN,15
สิงหาคม-NOUN,4
ภาย-NOUN,11
ยนต์-NOUN,5
เรื่อง-NOUN,36
รสนิยม-NOUN,9
ผลิตภัณฑ์-NOUN,1
ประโยชน์-NOUN,10
เบียร์-NOUN,17
ผลไม้-NOUN,8
ทะเลลาด-NOUN,1
ขาว-NOUN,3
สกปรก-NOUN,59
แอ-NOUN,2
ระยะ-NOUN,19
ประหลาด-NOUN,2
บรรยากาศ-NOUN,19
มิตร-NOUN,23
ดึงดูด-NOUN,2
ห้าง-NOUN,6
สรรพสินค้า-NOUN,4
