words,counts
พร้อม-VERB,59
มี-VERB,1012
แออัด-VERB,50
จะ-VERB,694
เดิน-VERB,182
กว้างขวาง-VERB,2
ทอด-VERB,4
อยู่-VERB,186
ให้-VERB,377
เช่า-VERB,63
ถูก-VERB,143
มากร้าน-VERB,1
กาแฟ-VERB,10
ครึ่ง-VERB,9
สะอาด-VERB,61
ชอบ-VERB,84
ลอย-VERB,14
ปลอด-VERB,46
รับ-VERB,133
พบ-VERB,66
สำรวจ-VERB,8
ผิด-VERB,12
หวัง-VERB,28
ใช้จ่าย-VERB,16
นำ-VERB,28
เชื่อ-VERB,13
ต่างๆ-VERB,19
ตุ๊กตุ๊ก-VERB,10
เปลี่ยนแปลง-VERB,12
จับ-VERB,5
ตื่น-VERB,7
ตรวจสอบ-VERB,11
หาย-VERB,15
นอน-VERB,16
เช็ด-VERB,8
ทำ-VERB,242
เลว-VERB,3
น่า-VERB,231
ตาม-VERB,2
โชค-VERB,2
สนุก-VERB,33
ระบาย-VERB,3
ฉ้อฉัน-VERB,1
พยายาม-VERB,71
สูบ-VERB,3
ฉีด-VERB,3
สามารถ-VERB,262
ได้-VERB,193
สิ้นสุด-VERB,6
ค้า-VERB,76
เมา-VERB,9
ดู-VERB,120
เหมือน-VERB,71
ครอง-VERB,2
หยุด-VERB,57
สื่อสาร-VERB,1
เปลี่ยน-VERB,8
แรม-VERB,65
ขนส่ง-VERB,5
ฆ่า-VERB,2
คิด-VERB,74
เพิ่ม-VERB,9
ประกาศ-VERB,2
เจาะจง-VERB,1
ใช้-VERB,125
เดินทาง-VERB,67
พัง-VERB,1
ทลาย-VERB,1
ต้อง-VERB,146
ต้องการ-VERB,143
รักษา-VERB,9
ความ-VERB,63
เชื่อถือ-VERB,1
ป้องกัน-VERB,6
ตรงข้าม-VERB,13
ถาม-VERB,21
เข้า-VERB,62
ตำรวจ-VERB,1
ผ่าน-VERB,49
ประดับ-VERB,4
ใกล้-VERB,9
ระวัง-VERB,23
กิน-VERB,35
ปรุง-VERB,4
มอง-VERB,48
หา-VERB,85
ยาม-VERB,19
ค่ำคืน-VERB,21
หยุดยั้ง-VERB,1
เหมาะ-VERB,8
เงียบ-VERB,43
สงบ-VERB,62
มุ่งหน้า-VERB,3
ร่ม-VERB,14
กั้น-VERB,2
ตอง-VERB,103
ลง-VERB,19
ใส-VERB,23
ยุ่งยาก-VERB,5
ขาย-VERB,207
พักผ่อน-VERB,21
เล่น-VERB,99
ค้นหา-VERB,9
ตั้ง-VERB,29
ควร-VERB,34
เยี่ยมชม-VERB,30
หนาแน่น-VERB,2
เจ็ทสกี-VERB,7
ตกลง-VERB,7
นั่ง-VERB,70
เกิด-VERB,43
ได้ยิน-VERB,7
เมนู-VERB,2
ถนน-VERB,30
คุ้ม-VERB,20
พา-VERB,11
เห็น-VERB,122
ล่อง-VERB,7
กลับ-VERB,87
รู้สึก-VERB,46
กังวล-VERB,9
เกี่ยว-VERB,41
สวย-VERB,15
ยุ่ง-VERB,40
วาง-VERB,19
ลอง-VERB,21
แล่น-VERB,17
สนุกสนาน-VERB,4
ร่วม-VERB,11
เลือก-VERB,63
สั่ง-VERB,9
บริการ-VERB,6
กิจกรรม-VERB,24
ค่อนข้าง-VERB,74
เริ่ม-VERB,12
ปรากฏ-VERB,3
ทิ้ง-VERB,22
รัก-VERB,31
นิ่ง-VERB,3
สกปรก-VERB,24
กลัว-VERB,34
ทำลาย-VERB,11
ยืน-VERB,4
พูด-VERB,33
เสีย-VERB,14
ฝัง-VERB,1
รบกวน-VERB,16
สมเหตุสมผล-VERB,3
โอเค-VERB,16
นวด-VERB,7
คิดเห็น-VERB,7
สะดวก-VERB,1
แบ่ง-VERB,2
อันตราย-VERB,2
พัก-VERB,70
เอเชีย-VERB,1
ประกวด-VERB,1
ท่องเที่ยว-VERB,57
รวม-VERB,51
ร่อน-VERB,2
กล้วย-VERB,8
ขี่-VERB,5
แลกเปลี่ยน-VERB,7
เสนอ-VERB,16
เริ่มต้น-VERB,10
เนิน-VERB,1
ป่า-VERB,20
ประเทศไทย-VERB,12
ผู้-VERB,1
สงสัย-VERB,2
เพลิดเพลิน-VERB,30
สวยงาม-VERB,36
เหลือ-VERB,17
ยืมพรม-VERB,1
คืน-VERB,75
สว่างไสว-VERB,1
กำไล-VERB,2
แสดง-VERB,15
ปอง-VERB,5
ดัง-VERB,14
จัดการ-VERB,5
fab-VERB,1
รอ-VERB,11
สุด-VERB,1
รีสอร์ท-VERB,3
ถัก-VERB,4
ว่าย-VERB,48
กระเป๋า-VERB,13
เกาะ-VERB,3
ตก-VERB,67
บังแดด-VERB,2
ทำใจ-VERB,5
สบาย-VERB,13
ผ่อนคลาย-VERB,67
ดื่ม-VERB,102
ตัดสินใจ-VERB,8
ตี-VERB,5
ต่อรอง-VERB,12
ดื่มด่ำ-VERB,1
ขาด-VERB,2
จอด-VERB,12
ยุติธรรม-VERB,2
รุก-VERB,1
ก้าวร้าว-VERB,4
แม่เหล็ก-VERB,1
อัด-VERB,8
แต่ง-VERB,5
ไร-VERB,1
ภูเก็ต-VERB,5
ค่า-VERB,1
โดยสาร-VERB,5
ชม-VERB,10
ขึ้น-VERB,16
ความทรงจำ-VERB,2
หัน-VERB,5
ตื่นตาตื่นใจ-VERB,11
สรรพสินค้า-VERB,1
ยอดเยี่ยม-VERB,18
แตกต่าง-VERB,21
ปลาย-VERB,6
เดไวน์-VERB,1
เกิน-VERB,5
ออก-VERB,56
พลุกพล่าน-VERB,15
ไป-VERB,110
ชายหาด-VERB,4
เต้นรำ-VERB,1
ยอม-VERB,8
กล้ว-VERB,1
อยาก-VERB,29
แช่-VERB,8
สมบูรณ์แบบ-VERB,11
คุณควร-VERB,2
แบน-VERB,2
ก้อน-VERB,4
โต-VERB,1
ล้าง-VERB,6
เปื้อน-VERB,1
อาจ-VERB,78
ผลักดัน-VERB,3
จ่าย-VERB,35
ดูแล-VERB,21
ปอเปี๊ยะ-VERB,1
ถือ-VERB,8
จิ้ม-VERB,1
ขับ-VERB,18
ตื้น-VERB,1
บอก-VERB,42
เข้าใจ-VERB,7
คาดหวัง-VERB,27
จัด-VERB,13
คลาย-VERB,3
ติด-VERB,17
นับ-VERB,6
ช่วย-VERB,14
ใส่-VERB,4
เฝ้า-VERB,3
เคลื่อนย้าย-VERB,2
ส่ง-VERB,14
เย็น-VERB,5
เตียง-VERB,9
ประกอบ-VERB,4
พ่วง-VERB,1
บริสุทธิ์-VERB,1
เจ็ทสกีอ่าน-VERB,1
แนะนำ-VERB,53
สวรรค์-VERB,2
คล้าย-VERB,3
พิจารณา-VERB,2
แปลกใจ-VERB,1
ขาดหาย-VERB,1
สัมผัส-VERB,13
คง-VERB,12
สนใจ-VERB,33
ตาย-VERB,3
กว้าง-VERB,5
ถนนบางลา-VERB,6
ว่างเปล่า-VERB,7
ฝูง-VERB,2
ที่สุด-VERB,1
ซื้อ-VERB,41
คูโดบีช-VERB,1
คลับ-VERB,7
กาย-VERB,5
สกู๊ตเตอร์เจ็ทสกีล่อง-VERB,1
ช้อปปิ้ง-VERB,15
พัฒนา-VERB,8
เบื่อ-VERB,4
นิยม-VERB,14
คุณ-VERB,11
ฟัง-VERB,5
ห้าม-VERB,6
เลี้ยง-VERB,3
ฝรั่งเสียบ-VERB,1
ริม-VERB,6
ตองสะอาด-VERB,1
สุข-VERB,18
ว่าง-VERB,6
รู้-VERB,30
แบ่งปัน-VERB,4
โปรด-VERB,6
กำหนด-VERB,6
ปฏิเสธ-VERB,8
ขอ-VERB,35
แทน-VERB,16
สดชื่นเอา-VERB,1
ถ่าย-VERB,10
เขียน-VERB,5
เรียก-VERB,14
ว่า-VERB,9
รู้จัก-VERB,5
กะตะเขา-VERB,1
เพียงพอ-VERB,4
เปรียบเทียบ-VERB,3
หลบหลีก-VERB,1
